experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
short_lowmdd_baseline,36505,494.28340156038536,3.9428340156038537,494.614495645555,3.9461449564555497,0.14543213258457746,1.405049645188992,-0.0777924006723626,294,294,3746,0
short_lowmdd_rr30_t40,36798,268.8054864816457,1.6880548648164568,269.0114686453987,1.6901146864539869,0.2480569596173705,1.2333108895731564,-0.03903260440208489,294,294,3802,0
short_lowmdd_rr15_t18,36852,194.1062974682679,0.9410629746826791,194.16549838838998,0.9416549838838997,0.3604960382068816,1.150766063104679,-0.04219999431442489,293,293,4547,0
short_lowmdd_ema_or_rr,36816,225.0046252256589,1.2500462522565892,225.14569222316996,1.2514569222316996,0.28772816166883963,1.1832404314566205,-0.03833336545708199,294,294,4068,0
short_lowmdd_asym_short_s22,28118,419.0418866179413,3.190418866179413,419.3132735504544,3.1931327355045447,0.1508642150935344,1.4502569944183537,-0.05016911878439401,286,286,3341,0
short_lowmdd_block_dominant_short,35825,428.01723594705817,3.2801723594705816,428.30394186258223,3.2830394186258225,0.1421353803210049,1.372236543431471,-0.06434240224590271,73,73,3746,0
short_lowmdd_defense_combo,35804,427.6025324476623,3.276025324476623,427.8889605754328,3.278889605754328,0.14213495698804604,1.372433075825632,-0.06405835806838411,72,72,3746,0
short_lowmdd_rr30_t40_defense,36098,257.9919732027814,1.5799197320278142,258.18966911132406,1.5818966911132408,0.2431159621031636,1.224775231807111,-0.034565576788861296,69,69,3802,0
short_lowmdd_rr15_t18_defense,36158,180.22527308865222,0.8022527308865222,180.28024040365054,0.8028024040365054,0.35624204878588417,1.1342246543636263,-0.051071211089516066,69,69,4547,0
short_lowmdd_ema_or_rr_defense,36118,208.75158509269727,1.0875158509269727,208.88246222157926,1.0888246222157925,0.28348745777728557,1.166742785626014,-0.04717298799791847,69,69,4068,0
